ref,title,author,lastRunTime,totalVotes
nihilisticneuralnet/9-251-rogii-wellbore-geology-prediction-dwt-based,9.251 ROGII-Wellbore Geology Prediction: DWT-based,parthenos,2026-05-13 06:31:11.020000,645
bernubritz/rogii-lb7295-public-rebuild,ROGII LB7295 Public Rebuild,Bernardus,2026-06-23 06:30:24.720000,442
lightningv08/rogii-dual-pipeline-self-verifying,ROGII Dual Pipeline + Self-Verifying,Vladislav Lavrentev,2026-06-12 20:56:28.403000,281
ravaghi/wellbore-geology-prediction-ridge,Wellbore Geology Prediction | Ridge,Mahdi Ravaghi,2026-06-06 02:07:29.667000,260
pixiux/rogii-dual-pipeline-blend,rogii_dual_pipeline_blend,PyJa,2026-06-10 11:24:57.013000,229
pilkwang/rogii-target-free-tvt-geosteering,🧭 ROGII Target-Free TVT Geosteering,Pilkwang Kim,2026-06-13 22:18:37.973000,213
degnonguidi/public-score-rogii-lb-7-159,  Public Score ROGII [LB: 7.159],renji_starfall,2026-06-21 22:51:30.507000,200
ravaghi/wellbore-geology-prediction-hill-climbing,Wellbore Geology Prediction | Hill Climbing,Mahdi Ravaghi,2026-06-08 10:57:32.340000,196
cdeotte/xgb-starter-cv-15,XGB Starter - [CV 15],Chris Deotte,2026-05-06 03:21:07.053000,190
baidalinadilzhan/rogii-lb-7-201,rogii [lb: 7.201],Baidalin Adilzhan [dsml.kz],2026-06-18 08:21:08.883000,185
romantamrazov/rogii-super-solution-lb-top-3,[ROGII] SUPER SOLUTION |LB: TOP 3 ,Roman Tamrazov,2026-05-08 08:57:56.697000,174
nina2025/rogii-h-blend-v1,ROGII |🐼 h-blend v1,F.A.Nina,2026-05-16 18:57:54.677000,167
pilkwang/rogii-eda-target-free-alignment-for-tvt,🛢️ ROGII EDA + Target-Free Alignment for TVT,Pilkwang Kim,2026-06-05 12:30:39.217000,161
jaemin3404/rogii-sp45-fleongg-blend-v2,rogii-sp45-fleongg-blend-v2,JAEMIN,2026-06-08 15:56:24.870000,156
ravaghi/wellbore-geology-prediction-lightgbm,Wellbore Geology Prediction | LightGBM,Mahdi Ravaghi,2026-06-08 10:57:22.413000,154
mitchgansemer/gr-features-outlier-detection-rogii-wellbore,GR Features / Outlier Detection — ROGII Wellbore,Mitch,2026-05-27 13:37:47.287000,150
aidensong123/rogii-sel15-rerun,rogii-sel15-rerun,AidenSong123,2026-06-01 17:29:40.817000,138
cdeotte/eda-starter,EDA Starter,Chris Deotte,2026-05-05 16:28:59.513000,137
ricardomzhang/rogii-v5,ROGII v5,Ricardo.M.Zhang,2026-06-14 14:01:18.927000,129
lightningv08/rogii-lb-7-168,ROGII [LB: 7.168],Vladislav Lavrentev,2026-07-01 12:41:00.567000,127
sunnywu27/rogii-wellbore-tvt-physical-model,ROGII Wellbore TVT — Physical Model,Sunnywu27,2026-05-31 18:55:44.247000,122
cdeotte/nn-starter-cv-15-5,NN Starter - [CV 15.5],Chris Deotte,2026-05-06 02:11:41.070000,119
yuriygreben/rogii-wellbore-geology-ridge-sp-pipeline,ROGII Wellbore Geology | Ridge SP Pipeline,Yuriy Greben,2026-06-08 07:41:39.690000,108
mitchgansemer/drift-targeting-ncc-tree-based-rogii-wellbore,Drift Targeting + NCC: Tree-based ROGII Wellbore,Mitch,2026-05-27 13:20:11.353000,108
karnakbaevarthur/physics-informed-baseline,Physics-Informed Baseline,Karnakbayev Artur,2026-05-11 20:57:09.253000,103
aevionlabs/public-score-rogii-lb-7-159,Public Score ROGII [LB: 7.159],Aevion-Labs,2026-06-23 06:12:47.697000,99
yaroslavkholmirzayev/rogii-sel15-forced-selector,ROGII SEL15 Forced Selector,Yaroslav kholmirzayev,2026-06-12 15:34:26.873000,97
romantamrazov/rogii-better-solution-lb-9-956,[ROGII] BETTER SOLUTION | LB: 9.956,Roman Tamrazov,2026-05-10 10:12:21.040000,95
svanikkolli/aeroridge-engine-v2,AeroRidge Engine v2,Svanik Kolli,2026-05-21 00:10:38.070000,94
pilkwang/working-note-target-free-tvt-geosteering,📘 Working Note: Target-Free TVT Geosteering,Pilkwang Kim,2026-07-03 12:40:58.197000,92
lightningv08/lb-7-776-rogii-ridge-sp,[LB 7.776]rogii-ridge-sp,Vladislav Lavrentev,2026-06-07 16:28:33.390000,91
lucifer19/wellbore-wizard-physics-pf-stack,🛢️ Wellbore Wizard — Physics × PF × Stack,Krizsó Gergely,2026-06-22 10:38:58.913000,86
iaztec/rogii-wellbore-geology-sp45-fleongg-eda,ROGII - Wellbore Geology | SP45 + Fleongg | EDA,i-aztec,2026-06-14 20:35:54.123000,84
boristown/rogii-lb7295-public-rebuild-v1-xr-recovery,ROGII LB7295 Public Rebuild - v1 XR Recovery,暗黑AGI,2026-06-29 00:52:51.113000,83
aiwody/physical-model-less-overfitting-noise,Physical model - less overfitting noise,萤火2018,2026-06-04 01:30:54.907000,82
kokinnwakashuu/rogii-dual-pipeline-v14-conservative-anchor,ROGII Dual Pipeline v14 Conservative Anchor,kokinnwakashuu,2026-06-28 01:30:07.027000,79
kojimar/rogii-physical-pf-signal-meets-artifact-stack,ROGII: Physical PF Signal Meets Artifact Stack,islet,2026-06-01 23:25:39.413000,79
fleongg/fle3n-rogii-v4,fle3n ROGII v4,fle3n,2026-06-09 18:39:01.300000,78
fleongg/fle3n-rogii-v5,fle3n ROGII v5,fle3n,2026-06-11 06:38:34.047000,75
nina2025/rogii-h-blend-v2,ROGII | 🐻‍❄️ h-blend v2,F.A.Nina,2026-05-13 14:01:50.053000,74
